race_id,circuit_length_km,total_laps,race_distance_km,track_type,overtaking_difficulty,street_circuit
2020_15,5.412,57,308.484,permanent,easy,0
2020_16,5.412,87,470.844,permanent,easy,0
2020_17,5.281,55,290.455,permanent,medium,0
2021_01,5.412,56,303.072,permanent,easy,0
2021_02,4.909,63,309.267,permanent,hard,0
2021_03,4.653,66,307.09799999999996,permanent,medium,0
2021_04,4.657,66,307.362,permanent,medium,0
2021_05,3.337,78,260.286,street,hard,1
2021_06,6.003,51,306.153,street,easy,1
2021_07,5.842,53,309.626,permanent,medium,0
2021_08,4.318,71,306.578,permanent,medium,0
2021_09,4.318,71,306.578,permanent,medium,0
2021_10,5.891,52,306.332,permanent,medium,0
2021_11,4.381,70,306.67,permanent,hard,0
2021_12,7.004,1,7.004,permanent,easy,0
2021_13,4.259,72,306.648,permanent,hard,0
2021_14,5.793,53,307.029,permanent,easy,0
2021_15,5.848,53,309.944,permanent,medium,0
2021_16,5.338,58,309.604,permanent,medium,0
2021_17,5.513,56,308.728,permanent,easy,0
2021_18,4.304,71,305.584,permanent,medium,0
2021_19,4.309,71,305.939,permanent,medium,0
2021_20,5.419,57,308.883,permanent,medium,0
2021_21,6.174,50,308.70000000000005,street,easy,1
2021_22,5.281,58,306.298,permanent,medium,0
2022_01,5.412,57,308.484,permanent,easy,0
2022_02,6.174,50,308.70000000000005,street,easy,1
2022_03,5.278,58,306.12399999999997,street,medium,1
2022_04,4.909,63,309.267,permanent,hard,0
2022_05,5.412,57,308.484,street,medium,1
2022_06,4.657,66,307.362,permanent,medium,0
2022_07,3.337,64,213.568,street,hard,1
2022_08,6.003,51,306.153,street,easy,1
2022_09,4.361,70,305.27,street,medium,1
2022_10,5.891,52,306.332,permanent,medium,0
2022_11,4.318,71,306.578,permanent,medium,0
2022_12,5.842,53,309.626,permanent,medium,0
2022_13,4.381,70,306.67,permanent,hard,0
2022_14,7.004,44,308.176,permanent,easy,0
2022_15,4.259,72,306.648,permanent,hard,0
2022_16,5.793,53,307.029,permanent,easy,0
2022_17,4.94,59,291.46000000000004,street,hard,1
2022_18,5.807,28,162.596,permanent,medium,0
2022_19,5.513,56,308.728,permanent,easy,0
2022_20,4.304,71,305.584,permanent,medium,0
2022_21,4.309,71,305.939,permanent,medium,0
2022_22,5.281,58,306.298,permanent,medium,0
2023_01,5.412,57,308.484,permanent,easy,0
2023_02,6.174,50,308.70000000000005,street,easy,1
2023_03,5.278,58,306.12399999999997,street,medium,1
2023_04,6.003,51,306.153,street,easy,1
2023_05,5.412,57,308.484,street,medium,1
2023_06,3.337,78,260.286,street,hard,1
2023_07,4.657,66,307.362,permanent,medium,0
2023_08,4.361,70,305.27,street,medium,1
2023_09,4.318,71,306.578,permanent,medium,0
2023_10,5.891,52,306.332,permanent,medium,0
2023_11,4.381,70,306.67,permanent,hard,0
2023_12,7.004,44,308.176,permanent,easy,0
2023_13,4.259,72,306.648,permanent,hard,0
2023_14,5.793,51,295.443,permanent,easy,0
2023_15,4.94,62,306.28000000000003,street,hard,1
2023_16,5.807,53,307.771,permanent,medium,0
2023_17,5.419,57,308.883,permanent,medium,0
2023_18,5.513,56,308.728,permanent,easy,0
2023_19,4.304,71,305.584,permanent,medium,0
2023_20,4.309,71,305.939,permanent,medium,0
2023_21,6.201,50,310.04999999999995,street,medium,1
2023_22,5.281,58,306.298,permanent,medium,0
2024_01,5.412,57,308.484,permanent,easy,0
2024_02,6.174,50,308.70000000000005,street,easy,1
2024_03,5.278,58,306.12399999999997,street,medium,1
2024_04,5.807,53,307.771,permanent,medium,0
2024_05,5.451,56,305.256,permanent,easy,0
2024_06,5.412,57,308.484,street,medium,1
2024_07,4.909,63,309.267,permanent,hard,0
2024_08,3.337,78,260.286,street,hard,1
2024_09,4.361,70,305.27,street,medium,1
2024_10,4.657,66,307.362,permanent,medium,0
2024_11,4.318,71,306.578,permanent,medium,0
2024_12,5.891,52,306.332,permanent,medium,0
2024_13,4.381,70,306.67,permanent,hard,0
2024_14,7.004,44,308.176,permanent,easy,0
2024_15,4.259,72,306.648,permanent,hard,0
2024_16,5.793,53,307.029,permanent,easy,0
2024_17,6.003,51,306.153,street,easy,1
2024_18,4.94,62,306.28000000000003,street,hard,1
2024_19,5.513,56,308.728,permanent,easy,0
2024_20,4.304,71,305.584,permanent,medium,0
2024_21,4.309,69,297.321,permanent,medium,0
2024_22,6.201,50,310.04999999999995,street,medium,1
2024_23,5.419,57,308.883,permanent,medium,0
2024_24,5.281,58,306.298,permanent,medium,0
2025_01,5.278,57,300.846,street,medium,1
2025_02,5.451,56,305.256,permanent,easy,0
2025_03,5.807,53,307.771,permanent,medium,0
2025_04,5.412,57,308.484,permanent,easy,0
2025_05,6.174,50,308.70000000000005,street,easy,1
2025_06,5.412,57,308.484,street,medium,1
2025_07,4.909,63,309.267,permanent,hard,0
2025_08,3.337,78,260.286,street,hard,1
2025_09,4.657,66,307.362,permanent,medium,0
2025_10,4.361,70,305.27,street,medium,1
2025_11,4.318,70,302.26,permanent,medium,0
2025_12,5.891,52,306.332,permanent,medium,0
2025_13,7.004,44,308.176,permanent,easy,0
2025_14,4.381,70,306.67,permanent,hard,0
2025_15,4.259,72,306.648,permanent,hard,0
2025_16,5.793,53,307.029,permanent,easy,0
2025_17,6.003,51,306.153,street,easy,1
2025_18,4.94,62,306.28000000000003,street,hard,1
2025_19,5.513,56,308.728,permanent,easy,0
2025_20,4.304,71,305.584,permanent,medium,0
2025_21,4.309,71,305.939,permanent,medium,0
2025_22,6.201,50,310.04999999999995,street,medium,1
2025_23,5.419,57,308.883,permanent,medium,0
2025_24,5.281,58,306.298,permanent,medium,0
2026_01,5.278,58,306.12399999999997,street,medium,1
2026_02,5.451,56,305.256,permanent,easy,0
2026_03,5.807,53,307.771,permanent,medium,0
